,Question,Option A,Option B,Option C,Option D,Right Answer,Explanation
156,"49. A business purchases new furniture for $15,000. What is the first-year CCA deduction if the furniture falls under Class 8?","A. $4,500","B. $3,000","C. $7,500","D. $1,500",B,"Class 8 has a CCA rate of 20%, and the half-year rule applies. Therefore, $15,000 x 20% x 50% = $1,500.  "
157,50. An individual makes a $500 contribution to a Registered Retirement Savings Plan (RRSP). What is the tax treatment of this contribution?,A. Fully deductible,B. Not deductible,C. Partially deductible,D. Deductible over 10 years,A,Contributions to an RRSP are fully deductible under the Income Tax Act.  
158,"1. A Canadian corporation purchases a piece of equipment for $100,000 on January 1, 2023. The equipment falls under Class 8 for Capital Cost Allowance (CCA) purposes, which has a rate of 20%. What is the CCA deduction for the year 2023?","$20,000 ","$10,000 ","$15,000 ","$25,000 ",B,"The correct answer is B. For Class 8 equipment, the CCA rate is 20%. In the first year, the half-year rule applies, so only 50% of the normal CCA deduction is allowed. Therefore, the calculation is: $100,000 * 20% * 50% = $10,000. Reference: Section 20(1)(a) and Regulations Schedule II of the Income Tax Act.  "
159,"2. John, a shareholder of a Canadian-controlled private corporation (CCPC), receives a taxable dividend of $5,000. The dividend gross-up rate is 38% and the dividend tax credit is 15.02%. What is the taxable amount of the dividend?","$6,900 ","$6,250 ","$6,500 ","$6,750 ",A,"The correct answer is A. The taxable amount of the dividend is calculated by grossing up the actual dividend received. The calculation is: $5,000 * 1.38 = $6,900. Reference: Section 82(1)(b) of the Income Tax Act.  "
160,"3. A company incurs $30,000 in advertising expenses, of which $5,000 is for ads in foreign publications. How much of the advertising expense is deductible?","$30,000 ","$25,000 ","$28,000 ","$27,500 ",B,"The correct answer is B. Advertising expenses for ads in foreign publications are not deductible. Therefore, the deductible amount is $30,000 - $5,000 = $25,000. Reference: Section 19(1) of the Income Tax Act.  "
161,"4. A taxpayer sold a property for $200,000. The adjusted cost base (ACB) of the property was $150,000, and the selling expenses amounted to $10,000. What is the taxable capital gain?","$40,000 ","$50,000 ","$25,000 ","$30,000 ",A,"The correct answer is A. The taxable capital gain is calculated as follows: Proceeds of disposition - (ACB + Selling expenses) = $200,000 - ($150,000 + $10,000) = $40,000. Reference: Section 40(1) of the Income Tax Act.  "
162,"5. Mary received a $3,000 signing bonus for starting a new job. How should this bonus be reported on her tax return?",As a capital gain,As employment income,As a dividend,As a non-taxable benefit,B,The correct answer is B. Signing bonuses are considered employment income and should be included in the taxpayer's income for the year received. Reference: Section 6(1)(a) of the Income Tax Act.  
163,"6. A corporation has an Un-depreciated Capital Cost (UCC) balance of $50,000 at the beginning of the year. During the year, it acquires additional assets costing $20,000. If the CCA rate is 30%, what is the CCA deduction for the year?","$21,000 ","$15,000 ","$14,000 ","$20,000 ",C,"The correct answer is C. The CCA deduction is calculated as follows: (Opening UCC + 50% of additions - 50% of disposals) * CCA rate = ($50,000 + 0.5 * $20,000) * 0.30 = $14,000. Reference: Section 20(1)(a) and Regulations Schedule II of the Income Tax Act.  "
164,"7. Peter receives a taxable benefit of $2,000 for the personal use of a company car. If Peter is in the 30% tax bracket, how much additional tax will he owe?",$600 ,$500 ,$700 ,$800 ,A,"The correct answer is A. The additional tax owed is calculated as follows: Taxable benefit * Tax rate = $2,000 * 30% = $600. Reference: Section 6(1)(e) of the Income Tax Act.  "
165,"8. A taxpayer has a net capital loss of $10,000 in 2023. How many years can this loss be carried back to offset capital gains?",1 year,2 years,3 years,4 years,C,The correct answer is C. Net capital losses can be carried back three years to offset capital gains in those years. Reference: Section 111(1)(b) of the Income Tax Act.  
166,"A company purchased a machine for $50,000. The CCA rate is 20%. What is the CCA for the first year?","$10,000 ","$8,000 ","$12,000 ","$9,000 ",A,"CCA = $50,000 * 20% = $10,000. Reference: Section 20(1)(a) of the Income Tax Act.  "
167,"An employee received a bonus of $5,000. How much of this bonus is included in taxable income?",$0 ,"$2,500 ","$5,000 ","$1,000 ",C,"The entire bonus of $5,000 is included in taxable income. Reference: Section 6(1)(a) of the Income Tax Act.  "
168,"A taxpayer has an unreported income of $10,000. What is the penalty for repeated failure to report income?",$500 ,"$1,000 ","$1,500 ","$2,000 ",B,"The penalty is 10% of the unreported income, which is $1,000. Reference: Section 163(1) of the Income Tax Act.  "
169,"A company has a UCC balance of $30,000 at the beginning of the year. It purchased additional assets worth $20,000. What is the new UCC balance if the CCA rate is 15%?","$42,500 ","$40,000 ","$45,500 ","$43,000 ",A,"New UCC = ($30,000 + $20,000) - 15% * ($30,000 + $20,000) = $42,500. Reference: Section 13(21) of the Income Tax Act.  "
170,"A shareholder received a taxable benefit of $3,000. How much of this benefit is included in taxable income?",$0 ,"$1,500 ","$3,000 ","$2,000 ",C,"The entire taxable benefit of $3,000 is included in taxable income. Reference: Section 15(1) of the Income Tax Act.  "
171,"A taxpayer sold shares for $15,000, which were originally purchased for $10,000. What is the capital gain?","$3,000 ","$5,000 ","$7,000 ","$10,000 ",B,"Capital gain = $15,000 - $10,000 = $5,000. Reference: Section 39(1)(a) of the Income Tax Act.  "
172,"A company paid dividends of $20,000. How much of this amount is included in the shareholder's taxable income?","$10,000 ","$15,000 ","$20,000 ","$25,000 ",C,"The entire dividend of $20,000 is included in taxable income. Reference: Section 82(1) of the Income Tax Act.  "
173,"An employee received a taxable benefit of $1,200 for personal use of a company car. How much of this benefit is included in taxable income?",$0 ,$600 ,"$1,200 ",$800 ,C,"The entire taxable benefit of $1,200 is included in taxable income. Reference: Section 6(1)(e) of the Income Tax Act.  "
174,"A taxpayer has a capital loss of $5,000. How much of this loss can be carried back to previous years?",$0 ,"$2,500 ","$5,000 ","$7,500 ",C,"The entire capital loss of $5,000 can be carried back. Reference: Section 111(1)(b) of the Income Tax Act.  "
175,"A company has accrued expenses of $10,000 and prepaid expenses of $5,000. What is the net expense for the year?","$5,000 ","$10,000 ","$15,000 ","$20,000 ",B,"Net expense = Accrued expenses + Prepaid expenses = $10,000 + $5,000 = $15,000. Reference: Section 18(9) of the Income Tax Act.  "
176,"A taxpayer received a dividend of $1,000 from a Canadian corporation. What is the gross-up amount for the dividend?",$380 ,$410 ,$450 ,$500 ,B,"The gross-up amount for eligible dividends is 38%, so $1,000 * 38% = $380. Reference: Section 82(1)(b) of the Income Tax Act.  "
177,"A company has a UCC balance of $100,000 and claims CCA of $20,000. What is the UCC balance at the end of the year?","$80,000 ","$90,000 ","$100,000 ","$110,000 ",A,"UCC balance at end of year = $100,000 - $20,000 = $80,000. Reference: Section 13(21) of the Income Tax Act.  "
178,"A taxpayer has a capital gain of $10,000 and a capital loss of $4,000. What is the net capital gain?","$4,000 ","$6,000 ","$8,000 ","$10,000 ",B,"Net capital gain = $10,000 - $4,000 = $6,000. Reference: Section 38(a) of the Income Tax Act.  "
179,"A company paid $5,000 in interest on a loan. How much of this interest is deductible?",$0 ,"$2,500 ","$5,000 ","$7,500 ",C,"The entire interest of $5,000 is deductible. Reference: Section 20(1)(c) of the Income Tax Act.  "
180,"A taxpayer received a taxable benefit of $2,000 for housing. How much of this benefit is included in taxable income?",$0 ,"$1,000 ","$2,000 ","$3,000 ",C,"The entire taxable benefit of $2,000 is included in taxable income. Reference: Section 6(1)(b) of the Income Tax Act.  "
181,"A company has a UCC balance of $50,000 and purchases additional assets worth $30,000. What is the new UCC balance if the CCA rate is 10%?","$72,000 ","$75,000 ","$77,000 ","$80,000 ",A,"New UCC = ($50,000 + $30,000) - 10% * ($50,000 + $30,000) = $72,000. Reference: Section 13(21) of the Income Tax Act.  "
182,"A taxpayer sold a property for $200,000, which was originally purchased for $150,000. What is the capital gain?","$25,000 ","$50,000 ","$75,000 ","$100,000 ",B,"Capital gain = $200,000 - $150,000 = $50,000. Reference: Section 39(1)(a) of the Income Tax Act.  "
183,"A company paid $10,000 in bonuses to its employees. How much of this amount is deductible?",$0 ,"$5,000 ","$10,000 ","$15,000 ",C,"The entire bonus of $10,000 is deductible. Reference: Section 18(1)(a) of the Income Tax Act.  "
184,"A taxpayer has a capital loss of $3,000. How much of this loss can be carried forward to future years?",$0 ,"$1,500 ","$3,000 ","$4,500 ",C,"The entire capital loss of $3,000 can be carried forward. Reference: Section 111(1)(b) of the Income Tax Act.  "
185,"A company has accrued expenses of $8,000 and prepaid expenses of $2,000. What is the net expense for the year?","$6,000 ","$8,000 ","$10,000 ","$12,000 ",B,"Net expense = Accrued expenses + Prepaid expenses = $8,000 + $2,000 = $10,000. Reference: Section 18(9) of the Income Tax Act.  "
186,"A taxpayer received a dividend of $2,000 from a Canadian corporation. What is the gross-up amount for the dividend?",$760 ,$820 ,$860 ,$900 ,A,"The gross-up amount for eligible dividends is 38%, so $2,000 * 38% = $760. Reference: Section 82(1)(b) of the Income Tax Act.  "
187,"A company has a UCC balance of $200,000 and claims CCA of $40,000. What is the UCC balance at the end of the year?","$160,000 ","$170,000 ","$180,000 ","$190,000 ",A,"UCC balance at end of year = $200,000 - $40,000 = $160,000. Reference: Section 13(21) of the Income Tax Act.  "
188,"A taxpayer has a capital gain of $20,000 and a capital loss of $8,000. What is the net capital gain?","$8,000 ","$10,000 ","$12,000 ","$14,000 ",C,"Net capital gain = $20,000 - $8,000 = $12,000. Reference: Section 38(a) of the Income Tax Act.  "
189,"A company paid $8,000 in interest on a loan. How much of this interest is deductible?",$0 ,"$4,000 ","$8,000 ","$12,000 ",C,"The entire interest of $8,000 is deductible. Reference: Section 20(1)(c) of the Income Tax Act.  "
190,"A taxpayer received a taxable benefit of $3,000 for housing. How much of this benefit is included in taxable income?",$0 ,"$1,500 ","$3,000 ","$4,500 ",C,"The entire taxable benefit of $3,000 is included in taxable income. Reference: Section 6(1)(b) of the Income Tax Act.  "
191,"A company has a UCC balance of $75,000 and purchases additional assets worth $25,000. What is the new UCC balance if the CCA rate is 15%?","$85,000 ","$90,000 ","$95,000 ","$100,000 ",B,"New UCC = ($75,000 + $25,000) - 15% * ($75,000 + $25,000) = $85,000. Reference: Section 13(21) of the Income Tax Act.  "
192,"A taxpayer sold a property for $300,000, which was originally purchased for $250,000. What is the capital gain?","$25,000 ","$50,000 ","$75,000 ","$100,000 ",B,"Capital gain = $300,000 - $250,000 = $50,000. Reference: Section 39(1)(a) of the Income Tax Act.  "
193,"A company paid $15,000 in bonuses to its employees. How much of this amount is deductible?",$0 ,"$7,500 ","$15,000 ","$22,500 ",C,"The entire bonus of $15,000 is deductible. Reference: Section 18(1)(a) of the Income Tax Act.  "
194,"A taxpayer has a capital loss of $4,000. How much of this loss can be carried forward to future years?",$0 ,"$2,000 ","$4,000 ","$6,000 ",C,"The entire capital loss of $4,000 can be carried forward. Reference: Section 111(1)(b) of the Income Tax Act.  "
195,"A company has accrued expenses of $12,000 and prepaid expenses of $3,000. What is the net expense for the year?","$9,000 ","$12,000 ","$15,000 ","$18,000 ",B,"Net expense = Accrued expenses + Prepaid expenses = $12,000 + $3,000 = $15,000. Reference: Section 18(9) of the Income Tax Act.  "
196,"A taxpayer received a dividend of $3,000 from a Canadian corporation. What is the gross-up amount for the dividend?","$1,140 ","$1,230 ","$1,320 ","$1,410 ",A,"The gross-up amount for eligible dividends is 38%, so $3,000 * 38% = $1,140. Reference: Section 82(1)(b) of the Income Tax Act.  "
197,"A company has a UCC balance of $150,000 and claims CCA of $30,000. What is the UCC balance at the end of the year?","$120,000 ","$130,000 ","$140,000 ","$150,000 ",A,"UCC balance at end of year = $150,000 - $30,000 = $120,000. Reference: Section 13(21) of the Income Tax Act.  "
198,"A taxpayer has a capital gain of $30,000 and a capital loss of $12,000. What is the net capital gain?","$12,000 ","$15,000 ","$18,000 ","$21,000 ",C,"Net capital gain = $30,000 - $12,000 = $18,000. Reference: Section 38(a) of the Income Tax Act.  "
199,"A company paid $12,000 in interest on a loan. How much of this interest is deductible?",$0 ,"$6,000 ","$12,000 ","$18,000 ",C,"The entire interest of $12,000 is deductible. Reference: Section 20(1)(c) of the Income Tax Act.  "
200,"A taxpayer received a taxable benefit of $4,000 for housing. How much of this benefit is included in taxable income?",$0 ,"$2,000 ","$4,000 ","$6,000 ",C,"The entire taxable benefit of $4,000 is included in taxable income. Reference: Section 6(1)(b) of the Income Tax Act.  "
201,"A company has a UCC balance of $100,000 and purchases additional assets worth $50,000. What is the new UCC balance if the CCA rate is 20%?","$120,000 ","$125,000 ","$130,000 ","$135,000 ",A,"New UCC = ($100,000 + $50,000) - 20% * ($100,000 + $50,000) = $120,000. Reference: Section 13(21) of the Income Tax Act.  "
202,"A taxpayer sold a property for $400,000, which was originally purchased for $300,000. What is the capital gain?","$50,000 ","$75,000 ","$100,000 ","$125,000 ",C,"Capital gain = $400,000 - $300,000 = $100,000. Reference: Section 39(1)(a) of the Income Tax Act.  "
203,"A company paid $20,000 in bonuses to its employees. How much of this amount is deductible?",$0 ,"$10,000 ","$20,000 ","$30,000 ",C,"The entire bonus of $20,000 is deductible. Reference: Section 18(1)(a) of the Income Tax Act.  "
204,"A taxpayer has a capital loss of $6,000. How much of this loss can be carried forward to future years?",$0 ,"$3,000 ","$6,000 ","$9,000 ",C,"The entire capital loss of $6,000 can be carried forward. Reference: Section 111(1)(b) of the Income Tax Act.  "
205,"A company has accrued expenses of $15,000 and prepaid expenses of $5,000. What is the net expense for the year?","$10,000 ","$15,000 ","$20,000 ","$25,000 ",B,"Net expense = Accrued expenses + Prepaid expenses = $15,000 + $5,000 = $20,000. Reference: Section 18(9) of the Income Tax Act.  "
206,"A taxpayer received a dividend of $4,000 from a Canadian corporation. What is the gross-up amount for the dividend?","$1,520 ","$1,640 ","$1,760 ","$1,880 ",A,"The gross-up amount for eligible dividends is 38%, so $4,000 * 38% = $1,520. Reference: Section 82(1)(b) of the Income Tax Act.  "
207,"A company has a UCC balance of $250,000 and claims CCA of $50,000. What is the UCC balance at the end of the year?","$200,000 ","$210,000 ","$220,000 ","$230,000 ",A,"UCC balance at end of year = $250,000 - $50,000 = $200,000. Reference: Section 13(21) of the Income Tax Act.  "
208,"A taxpayer has a capital gain of $40,000 and a capital loss of $16,000. What is the net capital gain?","$16,000 ","$20,000 ","$24,000 ","$28,000 ",C,"Net capital gain = $40,000 - $16,000 = $24,000. Reference: Section 38(a) of the Income Tax Act.  "
209,"A company paid $16,000 in interest on a loan. How much of this interest is deductible?",$0 ,"$8,000 ","$16,000 ","$24,000 ",C,"The entire interest of $16,000 is deductible. Reference: Section 20(1)(c) of the Income Tax Act.  "
210,"A taxpayer received a taxable benefit of $5,000 for housing. How much of this benefit is included in taxable income?",$0 ,"$2,500 ","$5,000 ","$7,500 ",C,"The entire taxable benefit of $5,000 is included in taxable income. Reference: Section 6(1)(b) of the Income Tax Act.  "
211,"A company has a UCC balance of $125,000 and purchases additional assets worth $75,000. What is the new UCC balance if the CCA rate is 25%?","$150,000 ","$160,000 ","$170,000 ","$180,000 ",A,"New UCC = ($125,000 + $75,000) - 25% * ($125,000 + $75,000) = $150,000. Reference: Section 13(21) of the Income Tax Act.  "
212,"A taxpayer sold a property for $500,000, which was originally purchased for $400,000. What is the capital gain?","$50,000 ","$75,000 ","$100,000 ","$125,000 ",C,"Capital gain = $500,000 - $400,000 = $100,000. Reference: Section 39(1)(a) of the Income Tax Act.  "
213,"A company paid $25,000 in bonuses to its employees. How much of this amount is deductible?",$0 ,"$12,500 ","$25,000 ","$37,500 ",C,"The entire bonus of $25,000 is deductible. Reference: Section 18(1)(a) of the Income Tax Act.  "
214,"A taxpayer has a capital loss of $8,000. How much of this loss can be carried forward to future years?",$0 ,"$4,000 ","$8,000 ","$12,000 ",C,"The entire capital loss of $8,000 can be carried forward. Reference: Section 111(1)(b) of the Income Tax Act.  "
215,"1. A Canadian corporation purchased a piece of equipment for $50,000. The equipment falls under Class 8 with a CCA rate of 20%. What is the CCA deduction for the first year?","$10,000 ","$5,000 ","$8,000 ","$12,000 ",A,"The CCA for the first year is calculated as $50,000 * 20% = $10,000. Reference: ITA Section 20(1)(a)."
216,"2. An employee received a bonus of $5,000 in December 2023, but it was not paid until January 2024. In which year should the bonus be included in the employee's income?",2023,2024,Split between 2023 and 2024,Not taxable,B,"The bonus is included in the employee's income in the year it is received, which is 2024. Reference: ITA Section 5(1)."
217,"3. A taxpayer sold shares for $30,000 that were originally purchased for $20,000. What is the capital gain?","$10,000 ","$5,000 ","$15,000 ","$20,000 ",A,"The capital gain is calculated as $30,000 - $20,000 = $10,000. Reference: ITA Section 38(a)."
218,"4. A business incurred $2,000 in prepaid rent for the next year. How should this be treated for tax purposes in the current year?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,B,"Prepaid expenses are deductible in the year they relate to, which is the next year. Reference: ITA Section 18(9)."
219,"5. A corporation has an un-depreciated capital cost (UCC) balance of $100,000 for Class 10 assets. If it sells an asset for $30,000, what is the new UCC balance?","$70,000 ","$130,000 ","$100,000 ","$90,000 ",A,"The new UCC balance is calculated as $100,000 - $30,000 = $70,000. Reference: ITA Section 13(21)."
220,"6. An individual received $1,000 in dividends from a Canadian corporation. What is the grossed-up amount to be included in income?","$1,380 ","$1,150 ","$1,250 ","$1,000 ",A,"The grossed-up amount is $1,000 * 1.38 = $1,380. Reference: ITA Section 82(1)(b)."
221,"7. A shareholder received a benefit of $2,000 from the corporation. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,D,Shareholder benefits are reported as other income. Reference: ITA Section 15(1).
222,"8. A taxpayer has a capital loss of $5,000 in 2023. How can this loss be applied?",Carry back 3 years,Carry forward 10 years,Carry back 1 year,Carry forward 5 years,A,Capital losses can be carried back 3 years. Reference: ITA Section 111(1)(b).
223,"9. A business has $10,000 in accrued expenses at year-end. How should these be treated for tax purposes?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,A,Accrued expenses are deductible in the year they are incurred. Reference: ITA Section 18(1)(a).
224,"10. A taxpayer sold a property for $200,000 that had an adjusted cost base of $150,000. What is the capital gain?","$50,000 ","$25,000 ","$75,000 ","$100,000 ",A,"The capital gain is calculated as $200,000 - $150,000 = $50,000. Reference: ITA Section 40(1)(a)."
225,"11. A corporation paid $3,000 in interest on a loan used to purchase a rental property. Is this interest deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Interest on a loan used to purchase a rental property is fully deductible. Reference: ITA Section 20(1)(c).
226,12. An employee received a taxable benefit of $500 for personal use of a company car. How should this be reported?,As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).
227,"13. A taxpayer has unreported income of $10,000 discovered during an audit. How should this be treated?",Include in current year income,Include in next year income,Split between current and next year,Not taxable,A,Unreported income should be included in the current year income. Reference: ITA Section 12(1)(x).
228,"14. A business purchased a vehicle for $40,000. The vehicle falls under Class 10 with a CCA rate of 30%. What is the CCA deduction for the first year?","$12,000 ","$6,000 ","$8,000 ","$10,000 ",A,"The CCA for the first year is calculated as $40,000 * 30% = $12,000. Reference: ITA Section 20(1)(a)."
229,"15. A corporation declared a dividend of $5,000. What is the grossed-up amount to be included in the shareholder's income?","$6,900 ","$5,750 ","$6,250 ","$5,000 ",A,"The grossed-up amount is $5,000 * 1.38 = $6,900. Reference: ITA Section 82(1)(b)."
230,"16. A taxpayer has a capital gain of $20,000 and a capital loss of $10,000 in the same year. What is the net capital gain?","$10,000 ","$5,000 ","$15,000 ","$20,000 ",A,"The net capital gain is calculated as $20,000 - $10,000 = $10,000. Reference: ITA Section 38(b)."
231,"17. A business incurred $1,500 in advertising expenses. Are these expenses deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Advertising expenses are fully deductible. Reference: ITA Section 18(1)(a).
232,"18. An employee received a taxable benefit of $1,000 for a gym membership. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).
233,"19. A taxpayer sold a rental property for $300,000 that had an adjusted cost base of $250,000. What is the capital gain?","$50,000 ","$25,000 ","$75,000 ","$100,000 ",A,"The capital gain is calculated as $300,000 - $250,000 = $50,000. Reference: ITA Section 40(1)(a)."
234,"20. A corporation has an un-depreciated capital cost (UCC) balance of $200,000 for Class 8 assets. If it sells an asset for $50,000, what is the new UCC balance?","$150,000 ","$250,000 ","$200,000 ","$180,000 ",A,"The new UCC balance is calculated as $200,000 - $50,000 = $150,000. Reference: ITA Section 13(21)."
235,"21. A taxpayer received $2,000 in dividends from a Canadian corporation. What is the grossed-up amount to be included in income?","$2,760 ","$2,300 ","$2,500 ","$2,000 ",A,"The grossed-up amount is $2,000 * 1.38 = $2,760. Reference: ITA Section 82(1)(b)."
236,"22. A shareholder received a benefit of $3,000 from the corporation. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,D,Shareholder benefits are reported as other income. Reference: ITA Section 15(1).
237,"23. A taxpayer has a capital loss of $7,000 in 2023. How can this loss be applied?",Carry back 3 years,Carry forward 10 years,Carry back 1 year,Carry forward 5 years,A,Capital losses can be carried back 3 years. Reference: ITA Section 111(1)(b).
238,"24. A business has $15,000 in accrued expenses at year-end. How should these be treated for tax purposes?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,A,Accrued expenses are deductible in the year they are incurred. Reference: ITA Section 18(1)(a).
239,"25. A taxpayer sold a property for $400,000 that had an adjusted cost base of $300,000. What is the capital gain?","$100,000 ","$50,000 ","$150,000 ","$200,000 ",A,"The capital gain is calculated as $400,000 - $300,000 = $100,000. Reference: ITA Section 40(1)(a)."
240,"26. A corporation paid $4,000 in interest on a loan used to purchase a rental property. Is this interest deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Interest on a loan used to purchase a rental property is fully deductible. Reference: ITA Section 20(1)(c).
241,27. An employee received a taxable benefit of $600 for personal use of a company car. How should this be reported?,As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).
242,"28. A taxpayer has unreported income of $15,000 discovered during an audit. How should this be treated?",Include in current year income,Include in next year income,Split between current and next year,Not taxable,A,Unreported income should be included in the current year income. Reference: ITA Section 12(1)(x).
243,"29. A business purchased a vehicle for $60,000. The vehicle falls under Class 10 with a CCA rate of 30%. What is the CCA deduction for the first year?","$18,000 ","$9,000 ","$12,000 ","$15,000 ",A,"The CCA for the first year is calculated as $60,000 * 30% = $18,000. Reference: ITA Section 20(1)(a)."
244,"30. A corporation declared a dividend of $6,000. What is the grossed-up amount to be included in the shareholder's income?","$8,280 ","$6,900 ","$7,500 ","$6,000 ",A,"The grossed-up amount is $6,000 * 1.38 = $8,280. Reference: ITA Section 82(1)(b)."
245,"31. A taxpayer has a capital gain of $25,000 and a capital loss of $15,000 in the same year. What is the net capital gain?","$10,000 ","$5,000 ","$15,000 ","$20,000 ",A,"The net capital gain is calculated as $25,000 - $15,000 = $10,000. Reference: ITA Section 38(b)."
246,"32. A business incurred $2,500 in advertising expenses. Are these expenses deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Advertising expenses are fully deductible. Reference: ITA Section 18(1)(a).
247,"33. An employee received a taxable benefit of $1,200 for a gym membership. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).
248,"34. A taxpayer sold a rental property for $500,000 that had an adjusted cost base of $400,000. What is the capital gain?","$100,000 ","$50,000 ","$150,000 ","$200,000 ",A,"The capital gain is calculated as $500,000 - $400,000 = $100,000. Reference: ITA Section 40(1)(a)."
249,"35. A corporation has an un-depreciated capital cost (UCC) balance of $300,000 for Class 8 assets. If it sells an asset for $75,000, what is the new UCC balance?","$225,000 ","$375,000 ","$300,000 ","$270,000 ",A,"The new UCC balance is calculated as $300,000 - $75,000 = $225,000. Reference: ITA Section 13(21)."
250,"36. A taxpayer received $3,000 in dividends from a Canadian corporation. What is the grossed-up amount to be included in income?","$4,140 ","$3,450 ","$3,750 ","$3,000 ",A,"The grossed-up amount is $3,000 * 1.38 = $4,140. Reference: ITA Section 82(1)(b)."
251,"37. A shareholder received a benefit of $4,000 from the corporation. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,D,Shareholder benefits are reported as other income. Reference: ITA Section 15(1).
252,"38. A taxpayer has a capital loss of $10,000 in 2023. How can this loss be applied?",Carry back 3 years,Carry forward 10 years,Carry back 1 year,Carry forward 5 years,A,Capital losses can be carried back 3 years. Reference: ITA Section 111(1)(b).
253,"39. A business has $20,000 in accrued expenses at year-end. How should these be treated for tax purposes?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,A,Accrued expenses are deductible in the year they are incurred. Reference: ITA Section 18(1)(a).
254,"40. A taxpayer sold a property for $600,000 that had an adjusted cost base of $450,000. What is the capital gain?","$150,000 ","$75,000 ","$225,000 ","$300,000 ",A,"The capital gain is calculated as $600,000 - $450,000 = $150,000. Reference: ITA Section 40(1)(a)."
255,"41. A corporation paid $5,000 in interest on a loan used to purchase a rental property. Is this interest deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Interest on a loan used to purchase a rental property is fully deductible. Reference: ITA Section 20(1)(c).
256,42. An employee received a taxable benefit of $700 for personal use of a company car. How should this be reported?,As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).
257,"43. A taxpayer has unreported income of $20,000 discovered during an audit. How should this be treated?",Include in current year income,Include in next year income,Split between current and next year,Not taxable,A,Unreported income should be included in the current year income. Reference: ITA Section 12(1)(x).
258,"44. A business purchased a vehicle for $80,000. The vehicle falls under Class 10 with a CCA rate of 30%. What is the CCA deduction for the first year?","$24,000 ","$12,000 ","$16,000 ","$20,000 ",A,"The CCA for the first year is calculated as $80,000 * 30% = $24,000. Reference: ITA Section 20(1)(a)."
259,"45. A corporation declared a dividend of $7,000. What is the grossed-up amount to be included in the shareholder's income?","$9,660 ","$8,050 ","$8,750 ","$7,000 ",A,"The grossed-up amount is $7,000 * 1.38 = $9,660. Reference: ITA Section 82(1)(b)."
260,"46. A taxpayer has a capital gain of $30,000 and a capital loss of $20,000 in the same year. What is the net capital gain?","$10,000 ","$5,000 ","$15,000 ","$20,000 ",A,"The net capital gain is calculated as $30,000 - $20,000 = $10,000. Reference: ITA Section 38(b)."
261,"47. A business incurred $3,000 in advertising expenses. Are these expenses deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Advertising expenses are fully deductible. Reference: ITA Section 18(1)(a).
262,"48. An employee received a taxable benefit of $1,500 for a gym membership. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).
263,"49. A taxpayer sold a rental property for $700,000 that had an adjusted cost base of $500,000. What is the capital gain?","$200,000 ","$100,000 ","$300,000 ","$400,000 ",A,"The capital gain is calculated as $700,000 - $500,000 = $200,000. Reference: ITA Section 40("
264,"13. A taxpayer received $2,000 in interest income from a Canadian bank. How should this be reported?",As a dividend,As a capital gain,As interest income,As other income,C,Interest income is reported as interest income. Reference: ITA Section 12(1)(c).  
265,"14. A business incurred $1,500 in advertising expenses. Are these expenses deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Advertising expenses are fully deductible. Reference: ITA Section 18(1)(a).  
266,"15. A corporation paid $4,000 in legal fees to defend a lawsuit. Are these fees deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Legal fees incurred to defend a lawsuit are fully deductible. Reference: ITA Section 18(1)(a).  
267,16. An employee received a taxable benefit of $300 for personal use of a company phone. How should this be reported?,As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).  
